A Tale of Two Cities,Charles Dickens,"Drama,Romance",9.99
The Alchemist,Paulo Coelho,Adventure,7.67
Pride and Prejudice,Jane Austen,"Romance,Fiction",18.67
The Great Gatsby,F. Scott Fitzgerald,Historical,19.99
The Grapes of Wrath,John Steinbeck,Historical,7.01
Crime and Punishment,Fyodor Dostoyevsky,"Philosophical,Fiction",12.67
The Handmaid's Tale,Margaret Atwood ,Fiction,10.99
Midnight's Children ,Salman Rushdie,"Historical,Fiction",10.99
Life of Pi,Yann Martel,"Psychological,Fiction",8.99
The Color Purple,Alice Walker,Fiction,9.99
Love in the Time of Cholera,Gabriel García Márquez,"Romance,Fiction",20.99
Watership Down,Richard Adams,"Fairy Tale,Fiction",18.99
Catch-22,Joseph Heller,"Comedy,Historic,Fiction",20.99
The Catcher in the Rye,J.D. Salinger,"Narrative,Fiction",15.99
Middlemarch,George Eliot,"Historical,Fiction",9.99
The Time Traveler's Wife,Audrey Niffenegger,"Science,Romance,Fantasy",6.99
Anne of Green Gables,L.M. Montgomery,Children,4.99
"Moby-Dick, or, the Whale",Herman Melville,"Adventure,Fiction",9.99
Heart of Darkness,Joseph Conrad,Fiction,10.99
Atonement,Ian McEwan,"Psychological,Fiction",7.99
Slaughterhouse-Five,Kurt Vonnegut,"Comedy,War,Fiction",10.99
Les Misérables,Victor Hugo,Historical,15.99
Matilda,Roald Dahl,"Children,Comedy",6.99
Harry Potter and the Philosopher's Stone,Joanne Rowling,"Fiction,Drama",21.99
A Song Of Ice And Fire,George Raymond Richard Martin,"Fiction,Drama",29.99
